"N.p.k.","Uzstāšanās Nr.","Kolektīva nosaukums","Vadītājs","Kvalitātes grupa","Gala vērtējums (punkti)","Piezīmes, lēmums"
54,16,"Rīgas Tirdzniecības profesionālās vidusskolas tautas deju kolektīvs 'TREJDEVIŅI'","Ieva Aizupe-Engere","C",36.8,"II pakāpe"
55,2,"Rīgas kultūras un tautas mākslas centra 'Ritums' Tautas deju ansamblis 'DZIRKSTELĪTE'","Jānis Marcinkevičs","C",36.7,"II pakāpe"
56,28,"Vidējās paaudzes deju kolektīvs 'SIDRABI'","Inga Liepa","E1",47.3,"Augstākā pakāpe"
57,23,"Rīgas Tehniskās universitātes Vidējās paaudzes deju kolektīvs 'VEKTORS'","Dagmāra Bārbale","E1",46.3,"Augstākā pakāpe"
58,25,"Ziemeļrīgas kultūras apvienības VEF Kultūras pils Vidējās paaudzes deju kolektīvs 'GATVE'","Gunta Raipala","E1",45.3,"Augstākā pakāpe"
59,26,"Rīgas Kultūras centra 'Iļģuciems' Vidējās paaudzes deju kolektīvs 'DEJOTPRIEKS'","Sandra Keisele","E1",44.7,"I pakāpe"
60,27,"Vidējās paaudzes deju kolektīvs 'ČIEKURS'","Ineta Bērziņa","E1",42.8,"I pakāpe"
61,30,"Vidējās paaudzes deju kolektīvs 'IMANTIEŠI'","Linda Plostniece","E1",42.7,"I pakāpe"
62,22,"Vidējās paaudzes deju kolektīvs 'SEN LĪGO'","Andis Lagzdiņš","E1",42.5,"I pakāpe"
63,21,"Rīgas Latviešu biedrības Vidējās paaudzes deju kolektīvs 'VIJA'","Laura Āboltiņa","E1",40.5,"I pakāpe"
64,29,"Vidējās paaudzes deju kolektīvs 'LATVE'","Sarma Freiberga","E1",39.5,"II pakāpe"
65,24,"Vidējās paaudzes deju kolektīvs 'CĪPARS'","Aija Šrādere","E1",36.3,"II pakāpe"
66,1,"Ziemeļrīgas kultūras apvienības Kultūras pils 'Ziemeļblāzma' Deju ansamblis 'PĒRKONS'","Andris Bergmanis","A",55.0,"I pakāpe"
67,5,"Latvijas Universitātes jauniešu deju kolektīvs 'DANCĪTIS'","Ilze Dzene","B",54.2,"I pakāpe"
68,2,"Agra Daņiļeviča deju skolas 'Dzirnas' B grupa","Agris Daņiļevičs","B",53.3,"I pakāpe"
69,4,"Rīgas 64. vidusskolas tautas deju kolektīvs 'DZĒRVENĪTE'","Anta Grīnvalde","B",52.7,"I pakāpe"
70,3,"SIA 'Arodbiedrību klubs 'Vecrīga'' Tautas deju ansamblis 'RĪDZENIEKS'","Viesturs Virza","B",52.2,"I pakāpe"
71,7,"Ziemeļrīgas Kultūras apvienības VEF Kultūras pils Vidējās paaudzes deju kolektīvs 'Mana Rotaļa'","Dace Adviljone","D",58.2,"Augstākā pakāpe"
72,11,"Rīgas Tehniskās universitātes Vidējās paaudzes deju kolektīvs 'VEKTORS'","Dagmāra Bārbale","D",58.2,"Augstākā pakāpe"
73,6,"Akadēmisko mūžorganizāciju deju kopa 'Marmale'","Dagnija Martinsone","D",53.2,"I pakāpe"
74,8,"Ziemeļrīgas Kultūras apvienības Kultūras pils 'Ziemeļblāzma' Vidējās paaudzes deju kolektīvs 'Auda'","Nadīna Neimane-Gardoviča","D",53.0,"I pakāpe"
75,17,"Ziemeļrīgas Kultūras apvienības VEF Kultūras pils deju kopa 'DIŽBRAMAŅI'","Taiga Ludborža","D",52.7,"I pakāpe"
76,9,"Biedrības 'Swedbank tautas deju kolektīvs' Vidējās paaudzes deju kolektīvs 'Artava'","Gunta Bērziņa","D",52.5,"I pakāpe"
77,16,"Biedrības 'Vidējās paaudzes deju kolektīvs 'Grieži'' Vidējās paaudzes deju kolektīvs 'GRIEŽI'","Sanda Ģīle","D",52.3,"I pakāpe"
78,12,"Rīgas valstspilsētas pašvaldības Kultūras un tautas mākslas centra 'Ritums' Vidējās paaudzes deju kolektīvs 'RITS'","Raimonds Dzintars","D",51.8,"I pakāpe"
79,15,"Ziemeļrīgas Kultūras apvienības Vidējās paaudzes deju kolektīvs 'DARDEDZE'","Ilze Kronberga","D",51.2,"I pakāpe"
80,10,"Koncertorganizācijas 'Ave Sol' Vidējās paaudzes deju kolektīvs 'Oglīte'","Jānis Marcinkēvičs","D",50.8,"I pakāpe"
81,13,"Latvijas Universitātes Vidējās paaudzes deju kolektīvs 'DANCĪTIS'","Ilze Dzene","D",50.3,"I pakāpe"
82,14,"Tautas deju kolektīva 'Rība' atbalsta biedrības Vidējās paaudzes deju kolektīvs 'RĪBA'","Daiga Gulbe","D",50.3,"I pakāpe"
83,19,"Agra Daņiļeviča deju skolas 'Dzirnas' Vidējās paaudzes deju kolektīvs 'DZIRNU SENČI'","Agris Daņiļevičs","E2",44.2,"I pakāpe"
84,18,"Biedrības 'Vidējās paaudzes deju kolektīvs 'Saule'' Vidējās paaudzes deju kolektīvs 'Saule'","Dace Šumska","E2",41.8,"I pakāpe"
85,22,"Tautisko deju pulciņš 'LĪGO ABSOLVENTI'","Jānis Purviņš","F1",46.7,"Augstākā pakāpe"
86,21,"Ziemeļrīgas Kultūras apvienības Kultūras pils 'Ziemeļblāzma' Senioru deju kolektīvs 'ZIEMEĻBLĀZMA'","Gundega Prancāne","F1",46.2,"Augstākā pakāpe"
87,23,"Rīgas Latviešu biedrības senioru deju kolektīvs 'SenVIJA'","Antra Vilcāne","F1",45.0,"Augstākā pakāpe"
88,24,"Koncertorganizācijas 'Ave Sol' Senioru deju kolektīvs 'OGLĪTE'","Jānis Marcinkēvičs","F1",43.5,"I pakāpe"
89,20,"Ziemeļrīgas Kultūras apvienības VEF Kultūras pils senioru deju kolektīvs 'SENDANCIS'","Viesturs Virza","F1",42.7,"I pakāpe"
